2018-02-22 21:05:21.791585|1|0|GOOG|1100.0000|10
2018-02-22 21:05:47.415625|2|0|MSFT|170.0000|17
2018-02-22 21:13:56.802803|1|0|AAPL|170.0000|25
2018-02-22 22:41:46.243791|1|1|GOOG|1100.0000|201
2018-02-22 22:59:25.999561|1|1|GOOG|1100.0000|50
2018-02-22 23:00:45.845435|1|0|GOOG|1100.0000|30
2018-02-22 23:14:36.008629|1|0|GOOG|1100.0000|15
2018-02-23 23:14:36.008629|2|0|GOOG|1100.0000|15
2018-02-28 12:31:35.776872|1|0|NTGR|200.0000|20
2018-03-03 10:22:52.114608|3|0|AAPL|170.0000|30
2018-03-03 10:39:16.295894|1|0|MSFT|122.0000|20
